URL,USERID,USERNAME,Comment,Sentiment
https://www.instagram.com/p/CNt1sCzhsBa/,4661582946,usa_explorer87,@wildcardcolby ?? ok bud,
https://www.instagram.com/p/CNt1sCzhsBa/,1914267562,vicriderxc,This is the end of the ICE age!! ??,
https://www.instagram.com/p/CNt1sCzhsBa/,52619508500,7stonesurat,The basic concept was the design need to be reversed. Correct me if i am wrong @teslamotors,
https://www.instagram.com/p/CNt1sCzhsBa/,51966286129,cinemastylo,Thissss!!,
https://www.instagram.com/p/CNt1sCzhsBa/,7381994400,glebson_vtn,Carro do Batman ? ??,
https://www.instagram.com/p/CNt1sCzhsBa/,199040667,brittanymariewiley,TESLSA STOLE THIS VEHICLE FROM ME. I'M TRYING TO DO BUSINESS WITH ELON MUSK,
https://www.instagram.com/p/CNt1sCzhsBa/,27413039,jehezeus,Tesla should do @amazon delivery trucks there I said it,
https://www.instagram.com/p/CNt1sCzhsBa/,49803647661,levkom889,??car,
https://www.instagram.com/p/CNt1sCzhsBa/,51917863492,sickyirl,So on year 5 will we get near a release date?,
https://www.instagram.com/p/CNt1sCzhsBa/,46156800257,monalisa_chavura,@kanyewest would love this,
https://www.instagram.com/p/CNt1sCzhsBa/,5892071639,rustysawshop,"Unfortunately a lot of electric trucks just don’t appeal to people who actually use a truck for work. The bed rails are too high, and the bed is too short. Not to mention the integral bed limits your options as far as dump bodies or flatbeds.",
https://www.instagram.com/p/CNt1sCzhsBa/,51751822319,riodantigamente,is tesla too poor to hire good designers?,
https://www.instagram.com/p/CNt1sCzhsBa/,45851674895,oskr_the_artist,Is it ever coming out?!?!?????????????????,
https://www.instagram.com/p/CNt1sCzhsBa/,8533482994,thattanwillys,Yeah but how fast does it go??,
https://www.instagram.com/p/CNt1sCzhsBa/,52364932917,yasiin_n46,??,
https://www.instagram.com/p/CNt1sCzhsBa/,10954895715,tfw_christhewaver,When it your giga headquarters done with construction,
https://www.instagram.com/p/CNt1sCzhsBa/,32547797653,danilorezesilva,"using reverse psychology in its release for yet another fantastic, historic feat. ?",
https://www.instagram.com/p/CNt1sCzhsBa/,5571775684,herringcustomhats,"@teslamotors can we help design a truck that would appeal to the farmers and ranchers that need trucks.  A design that would appeal to people that have made a living with a truck their entire life. HP RATING, towing capacity, engine brake, gooseneck hitch.  There are a lot of things that need to be in line for us to use an EV truck for commercial uses in the agriculture industry.",
https://www.instagram.com/p/CNt1sCzhsBa/,1157903655,rydogga,@herringcustomhats I reckon this will do it?,
https://www.instagram.com/p/CNt1sCzhsBa/,5571775684,herringcustomhats,@rydogga nope,
https://www.instagram.com/p/CNt1sCzhsBa/,7555558691,greenwrenchstudio,@herringcustomhats they always argue and are incredibly stubborn that their diesels are more equipped; which may very well be the current case. Eventually the market will cater to them,
https://www.instagram.com/p/CNt1sCzhsBa/,5571775684,herringcustomhats,@greenwrenchstudio I guess we’ll just put a diesel welder in the bed to power the electric trucks. Lol,
https://www.instagram.com/p/CNt1sCzhsBa/,7555558691,greenwrenchstudio,@herringcustomhats solid plan lol,
https://www.instagram.com/p/CNt1sCzhsBa/,43596100838,ayman___shilbayeh,I Love this car ????????,
https://www.instagram.com/p/CNt1sCzhsBa/,5674271630,_.__martina.bonardi_,Ahahhaah,
https://www.instagram.com/p/CNt1sCzhsBa/,1520735129,musseb_2022,????????,
https://www.instagram.com/p/CNt1sCzhsBa/,40877639866,armin_pv88,?? ???? ???? ?????? ????? ? ?? ??? ????? ? ??? ?????????,
https://www.instagram.com/p/CNt1sCzhsBa/,51300430428,nusly_p,????????????,
https://www.instagram.com/p/CNt1sCzhsBa/,1668359057,anama_dasilva,Horrible,
https://www.instagram.com/p/CNt1sCzhsBa/,22149249318,iamaur__,@itsshani.0001,
https://www.instagram.com/p/CNt1sCzhsBa/,48258227412,dennisnpeters,Wyld ??,
https://www.instagram.com/p/CNt1sCzhsBa/,12333875698,t.bchmnn,??,
https://www.instagram.com/p/CNt1sCzhsBa/,25212123701,riccardo_mula,@alberto_romano_46,
https://www.instagram.com/p/CNt1sCzhsBa/,33521149825,albertoo_romano,@riccardo_mula bello il ram affianco,
https://www.instagram.com/p/CNt1sCzhsBa/,1249813738,nevlindumont,Check out my ode to cybertruck ??,
https://www.instagram.com/p/CNt1sCzhsBa/,277924128,solecitagon,Un sueño ...,
https://www.instagram.com/p/CNt1sCzhsBa/,25790388,bfrancis80,@ragsdaddy,
https://www.instagram.com/p/CNt1sCzhsBa/,1556965243,cruz_wrld1999_,??,
https://www.instagram.com/p/CNt1sCzhsBa/,48882262427,tug.n.farm,Just canceled my reservation after learning the cyber truck has decreased in size. @teslamotors Please make a full size pickup!,
https://www.instagram.com/p/CNt1sCzhsBa/,7555558691,greenwrenchstudio,@tug.n.farm thank you! Now I might get mine faster ??,
https://www.instagram.com/p/CNt1sCzhsBa/,47552758268,roshan2_6_,sushicoin,
